id,title,year,duration,genre,imdb_rating,img_loc
90,The Bridge on the River Kwai,1957,161 min,Adventure,8.2,https://m.media-amazon.com/images/M/MV5BOGY5NmNlMmQtYzRlYy00NGQ5LWFkYjYtNzExZmQyMTg0ZDA0XkEyXkFqcGdeQXVyNDIzMzcwNjc@.jpg
91,Le salaire de la peur,1953,131 min,Adventure,8.2,https://m.media-amazon.com/images/M/MV5BMzE2ODNiZGItNGJiZS00MzBkLTgzZDktN2NmZGE0ZWU3N2U5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzI4Nzk0NjY@.jpg
92,The Treasure of the Sierra Madre,1948,126 min,Adventure,8.2,https://m.media-amazon.com/images/M/MV5BOTJlZWMxYzEtMjlkMS00ODE0LThlM2ItMDI3NGQ2YjhmMzkxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@.jpg
93,The General,1926,67 min,Action,8.2,https://m.media-amazon.com/images/M/MV5BYmRiMDFlYjYtOTMwYy00OGY2LWE0Y2QtYzQxOGNhZmUwNTIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg
94,The Gold Rush,1925,95 min,Adventure,8.2,https://m.media-amazon.com/images/M/MV5BZjEyOTE4MzMtNmMzMy00Mzc3LWJlOTQtOGJiNDE0ZmJiOTU4L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg
95,Everything Everywhere All at Once,2022,139 min,Action,8.1,https://m.media-amazon.com/images/M/MV5BYTdiOTIyZTQtNmQ1OS00NjZlLWIyMTgtYzk5Y2M3ZDVmMDk1XkEyXkFqcGdeQXVyMTAzMDg4NzU0.jpg
96,Klaus,2019,96 min,Animation,8.1,https://m.media-amazon.com/images/M/MV5BMWYwOThjM2ItZGYxNy00NTQwLWFlZWEtM2MzM2Q5MmY3NDU5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg
97,Bajrangi Bhaijaan,2015,163 min,Action,8.1,https://m.media-amazon.com/images/M/MV5BNGNlYmRmMGEtNWJhYy00ZjMzLWJhOTQtZjdiNTAxMzI5Njg5XkEyXkFqcGdeQXVyMTA4NjE0NjEy.jpg
98,Queen,2013,146 min,Adventure,8.1,https://m.media-amazon.com/images/M/MV5BNWYyOWRlOWItZWM5MS00ZjJkLWI0MTUtYTE3NTI5MDAwYjgyXkEyXkFqcGdeQXVyODE5NzE3OTE@.jpg
101,Hotaru no haka,1988,89 min,Animation,8.5,https://m.media-amazon.com/images/M/MV5BZmY2NjUzNDQtNTgxNC00M2Q4LTljOWQtMjNjNDBjNWUxNmJlXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg
